add	cộng, thêm vào
addition	tính cộng, phép cộng
additional	thêm vào, tăng thêm
address	địa chỉ, đề địa chỉ
adequate	đầy, đầy đủ
adequately	tương xứng, thỏa đáng
adjust	sửa lại cho đúng, điều chỉnh
admiration	sự khâm phục,người kp, thán phục
admire	khâm phục, thán phục
admit	nhận vào, cho vào, kết hợp
adopt	nhận làm con nuôi, bố mẹ nuôi
adult	người lớn, người trưởng thành; trưởng thành
advance	sự tiến bộ, tiến lên; đưa lên, đề xuất
advanced	tiên tiến, tiến bộ, cấp cao
advantage	sự thuận lợi, lợi ích, lợi thế
atmosphere	khí quyển
atom	nguyên tử
attach	gắn, dán, trói, buộc
attached	gắn bó
attack	sự tấn công, sự công kích; tấn công, công kích
back	lưng, về phía sau, trở lại
background	phía sau; nền
backward	về phía sau, lùi lại
bacteria	vi khuẩn
bad	xấu, tồi
bad-tempered	xấu tính, dễ nổi cáu
badly	xấu, tồi
bag	bao, túi, cặp xách
bargain	sự mặc cả, sự giao kèo mua bán
barrier	đặt chướng ngại vật
beach	bãi biển
beef	thịt bò
beer	rượu bia
before	trước, đằng trước
begin	bắt đầu, khởi đầu
behalf	sự thay mặt
behave	đối xử, ăn ở, cư xử
behind	sau, ở đằng sau
belief	lòng tin, đức tin, sự tin tưởng
believe	tin, tin tưởng
bell	cái chuông, tiếng chuông
belong	thuộc về, của, thuộc quyền sở hữu
below	ở dưới, dưới thấp, phía dưới
belt	dây lưng, thắt lưng
cabinet	tủ có nhiều ngăn đựng đồ
cable	dây cáp
cake	bánh ngọt
calculate	tính toán
call	gọi; tiếng kêu, tiếng gọi
calm	yên lặng, làm dịu đi; sự yên lặng, sự êm ả
calmly	yên lặng, êm ả; bình tĩnh, điềm tĩnh
camera	máy ảnh
camp	trại, chỗ cắm trại; cắm trại, hạ trại
camping	sự cắm trại
cancel	hủy bỏ, xóa bỏ
cancer	bệnh ung thư
candy	kẹo
cannot	không thể
car	xe hơi
card	thẻ, thiếp
care	quan tâm
career	nghề nghiệp, sự nghiệp
carefully	cẩn thận, chu đáo
carry	mang, vác, khuân chở
case	vỏ, ngăn, túi
cast	quăng, ném, thả, đánh gục; sự quăng, sự ném
cat	con mèo
dark	tối, tối tăm; bóng tối, ám muội
data	số liệu, dữ liệu
date	ngày, kỳ, kỳ hạn, thời kỳ, thời đại
daughter	con gái
day	ngày, ban ngày
dead	chết, tắt
deaf	điếc, làm thinh, làm ngơ
deal with	giải quyết
dear	thân, thân yêu, thân mến; kính thưa, thưa
death	sự chết, cái chết
debate	cuộc tranh luận, cuộc tranh cãi; tranh luận, bàn cãi
decay	tình trạng suy tàn, suy sụp, tình trạng đổ nát
december	tháng mười hai, tháng chạp
decline	sự suy tàn, sự suy sụp; suy sụp, suy tàn
decorate	trang hoàng, trang trí
earn	kiếm
earth	đất, trái đất
ease	sự thanh thản, sự thoải mái; làm thanh thản, làm yên tâm, làm dễ chịu
easily	dễ dàng
east	hướng đông, phía đông,  đông, ở phía đông
eastern	đông
easy	dễ dàng, dễ tính, ung dung
eat	ăn
economic	kinh tế
economy	sự tiết kiệm, sự quản lý kinh tế
edge	lưỡi, cạnh sắc
edition	nhà xuất bản, sự xuất bản
face	mặt, thể diện; đương đầu, đối phó, đối mặt
facility	điều kiện dễ dàng, sự dễ dàng, thuận lợi
fact	việc, sự việc, sự kiện
factor	nhân tố
factory	nhà máy, xí nghiệp, xưởng
fail	sai, thất bại
failure	sự thất bại, người thất bại
faint	nhút nhát, yếu ớt
fair	hợp lý, công bằng; thuận lợi
fairly	hợp lý, công bằng
faith	sự tin tưởng, tin cậy; niềm tin, vật đảm bảo
gain	lợi, lợi ích; giành được, kiếm được, đạt tới
gamble	đánh bạc; cuộc đánh bạc
gambling	trò cờ bạc
game	trò chơi
gap	đèo, lỗ hổng, kẽ hở; chỗ trống
garage	nhà để ô tô
garbage	lòng, ruột
garden	vườn
gas	khí, hơi đốt
gate	cổng
gear	cơ cấu, thiết bị, dụng cụ
habit	thói quen, tập quán
hair	tóc
hand	tay, bàn tay; trao tay, truyền cho
handle	treo, mắc
happen	xảy ra, xảy đến
happy	vui sướng, hạnh phúc
hard	cứng, rắn, hà khắc; hết sức cố gắng, tích cực
hardly	khắc nghiệt, nghiêm khắc, tàn tệ, khó khăn
harm	thiệt hại, tổn hao; làm hại, gây thiệt hại
harmful	gây tai hại, có hại
hat	cái mũ
hate	ghét; lòng căm ghét, thù hận
husband	người chồng
ice	băng, nước đá
idea	ý tưởng, quan niệm
ideal	quan niệm, tư tưởng; lý tưởng
jeans	quần bò, quần zin
jelly	thạch
job	việc, việc làm
join	gia nhập, tham gia; nối, chắp, ghép
joke	trò cười, lời nói đùa; nói đùa, giễu cợt
machine	máy, máy móc
machinery	máy móc, thiết bị
magazine	tạp chí
magic	ma thuật, ảo thuật;  ma thuật, ảo thuật
mail	thư từ, bưu kiện; gửi qua bưu điện
main	chính, chủ yếu, trọng yếu nhất
